Food,Calories,Protein,Fat,Carbs,Notes
Apple,95,0.5,0.3,25,Fresh
Banana,105,1.3,0.4,27,Ripe
Chicken Breast,165,31,3.6,0,Grilled
Brown Rice,130,2.7,0.3,28,Cooked
Broccoli,55,2.8,0.6,11,Steamed
Salmon,208,22,13,0,Baked
Egg,70,6,5,0.6,Boiled
Oatmeal,150,5,2.5,27,Cooked
Greek Yogurt,100,17,0,6,Plain
Almonds,164,6,14,6,Raw
Sweet Potato,112,2,0.1,26,Baked
Quinoa,120,4.4,1.9,21,Cooked
Avocado,234,2.9,21,12,Ripe
Spinach,7,0.9,0.1,1.1,Raw
Blueberries,84,1.1,0.5,21,Fresh
Rice,130,2.7,0.3,28.0
Dal,120,7.0,0.5,22.0
Roti,80,2.5,1.0,15.0
Vegetables,50,2.0,0.2,10.0
Idli,39,1.9,0.2,7.8
Dosa,133,3.7,3.9,22.0
Sambar,90,4.5,2.0,12.0
Upma,150,4.0,3.0,25.0
Poha,250,6.0,2.0,45.0
Dhokla,150,5.0,2.0,25.0
Samosa,262,4.0,14.0,31.0
Pakora,140,3.0,8.0,15.0
Vada,150,4.0,6.0,20.0
Bhel Puri,200,5.0,4.0,35.0
Pav Bhaji,350,8.0,12.0,45.0 
